min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,2.70,1.46,20.0,4.95,1.47,2.50,1.75,1.89,1.50,1.54,2.25,3.50,2.00,1.65,4.45,0,0
3,2.70,1.46,20.0,4.95,1.47,2.50,1.75,1.89,1.50,1.54,2.25,3.50,2.00,1.65,4.45,0,0
4,2.70,1.46,20.0,4.95,1.47,2.50,1.75,1.89,1.50,1.54,2.25,3.50,2.00,1.65,4.45,0,0
5,2.70,1.46,20.0,4.95,1.47,2.50,1.75,1.89,1.50,1.54,2.25,3.50,2.00,1.65,4.45,0,0
6,2.70,1.46,20.0,4.90,1.47,2.50,1.73,1.93,1.50,1.53,2.30,3.50,2.00,1.68,4.45,0,0
7,2.70,1.46,20.0,4.90,1.48,2.50,1.70,1.96,1.50,1.52,2.30,3.50,1.95,1.71,4.40,0,0
8,2.75,1.46,20.0,4.85,1.49,2.50,1.68,2.00,1.50,1.51,2.35,3.50,1.91,1.74,4.40,0,0
9,2.75,1.47,20.0,4.90,1.49,2.50,1.65,2.00,1.50,1.50,2.40,3.50,1.87,1.77,4.35,0,0
10,2.75,1.47,20.0,4.90,1.49,2.50,1.63,2.05,1.50,1.49,2.40,3.50,1.83,1.81,4.30,0,0
11,2.75,1.47,20.0,4.90,1.50,2.50,1.61,2.10,1.50,1.47,2.45,3.50,1.80,1.84,4.30,0,0
12,2.75,1.47,19.0,4.90,1.50,2.50,1.60,2.10,1.50,1.46,2.50,3.50,1.77,1.88,4.25,0,0
13,2.75,1.47,19.0,4.80,1.51,2.50,1.58,2.20,1.50,1.45,2.55,3.50,1.73,1.92,4.20,0,0
14,2.75,1.47,19.0,4.85,1.52,2.50,1.56,2.20,1.50,1.44,2.60,3.50,1.71,1.96,4.20,0,0
15,2.75,1.47,18.0,4.85,1.52,2.50,1.54,2.25,1.50,1.43,2.60,3.50,1.67,2.00,4.15,0,0
16,2.75,1.48,18.0,4.80,1.52,2.50,1.52,2.30,1.50,1.42,2.65,3.50,1.65,2.00,4.10,0,0
17,2.75,1.48,17.0,4.80,1.53,2.50,1.51,2.35,1.50,1.41,2.70,3.50,1.62,2.10,4.10,0,0
18,2.75,1.48,17.0,4.80,1.53,2.50,1.49,2.40,1.50,1.40,2.75,3.50,1.60,2.10,4.05,0,0
19,2.75,1.48,17.0,4.80,1.54,2.50,1.48,2.45,1.50,1.39,2.80,3.50,1.57,2.20,4.00,0,0
20,2.80,1.48,16.0,4.80,1.55,2.50,1.46,2.50,1.50,1.38,2.80,3.50,1.55,2.25,4.00,0,0
21,2.80,1.49,16.0,4.80,1.55,1.50,2.50,1.46,1.50,1.37,2.85,3.50,1.53,2.30,3.95,0,0
22,2.80,1.49,15.0,4.75,1.56,1.50,2.45,1.48,0.50,2.90,1.37,3.50,1.51,2.35,3.95,0,0
23,2.80,1.49,15.0,4.75,1.57,1.50,2.40,1.49,0.50,2.85,1.37,3.50,1.49,2.40,3.90,0,0
24,2.80,1.49,15.0,4.75,1.57,1.50,2.35,1.51,0.50,2.80,1.38,1,1,1,3.85,0,0
25,2.80,1.50,14.0,4.75,1.58,1.50,2.30,1.53,0.50,2.75,1.39,1,1,1,3.85,0,0
26,2.80,1.50,14.0,4.70,1.59,1.50,2.25,1.54,0.50,2.70,1.40,1,1,1,3.80,0,0
27,2.80,1.50,13.0,4.70,1.59,1.50,2.20,1.56,0.50,2.70,1.42,1,1,1,3.75,0,0
28,2.80,1.50,13.0,4.70,1.60,1.50,2.15,1.58,0.50,2.65,1.43,1,1,1,3.75,0,0
29,2.80,1.51,13.0,4.70,1.60,1.50,2.10,1.60,0.50,2.60,1.44,1,1,1,3.70,0,0
30,2.80,1.51,12.0,4.70,1.61,1.50,2.10,1.62,0.50,2.55,1.45,1,1,1,3.65,0,0
31,2.85,1.51,12.0,4.70,1.61,1.50,2.05,1.65,0.50,2.50,1.46,1,1,1,3.65,0,0
32,2.85,1.52,12.0,4.65,1.62,1.50,2.00,1.67,0.50,2.45,1.47,1,1,1,3.60,0,0
33,2.85,1.52,11.5,4.65,1.63,1.50,1.97,1.70,0.50,2.40,1.49,1,1,1,3.55,0,0
34,2.85,1.53,11.0,4.65,1.64,1.50,1.93,1.72,0.50,2.40,1.50,1,1,1,3.55,0,0
35,2.85,1.53,10.5,4.70,1.65,1.50,1.89,1.75,0.50,2.35,1.51,1,1,1,3.50,0,0
36,2.90,1.54,10.0,4.70,1.65,1.50,1.85,1.79,0.50,2.30,1.53,1,1,1,3.45,0,0
37,2.90,1.54,10.0,4.65,1.66,1.50,1.82,1.82,0.50,2.25,1.54,1,1,1,3.40,0,0
38,2.90,1.55,9.50,4.65,1.68,1.50,1.78,1.86,0.50,2.25,1.55,1,1,1,3.40,0,0
39,2.90,1.55,9.00,4.65,1.68,1.50,1.75,1.90,0.50,2.20,1.57,1,1,1,3.35,0,0
40,2.90,1.56,9.00,4.65,1.69,1.50,1.72,1.94,0.50,2.15,1.58,1,1,1,3.30,0,0
41,2.95,1.56,8.50,4.65,1.70,1.50,1.69,1.98,0.50,2.10,1.60,1,1,1,3.30,0,0
42,2.95,1.57,8.00,4.65,1.72,1.50,1.66,2.00,0.50,2.10,1.62,1,1,1,3.25,0,0
43,2.95,1.57,8.00,4.65,1.72,1.50,1.64,2.05,0.50,2.05,1.63,1,1,1,3.20,0,0
44,2.95,1.58,7.50,4.65,1.74,1.50,1.61,2.10,0.50,2.00,1.65,1,1,1,3.20,0,0
45,3.05,1.63,6.00,4.60,1.81,1.50,1.50,2.40,0.50,1.88,1.76,1.50,2.30,1.53,3.00,0,0
46,3.05,1.64,6.00,4.65,1.82,1.50,1.48,2.45,0.50,1.85,1.79,1.50,2.25,1.55,2.95,0,0
47,3.05,1.65,6.00,4.65,1.84,1.50,1.46,2.50,0.50,1.82,1.82,1.50,2.15,1.58,2.95,0,0
48,3.10,1.66,5.50,4.65,1.86,1.50,1.44,2.60,0.50,1.79,1.85,1.50,2.10,1.61,2.90,0,0
